epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1755.6,0.25452,2.99964,0.18456,0.22969,1.0017,0.99832,1,0.995,0.94286,0.96895,0.97059,0.97454,0.40788,0.33939,2.57969,0.15996,0.25209,0.63194,0.00173468,0.00173468,0.00173468
69,1779.71,0.25677,3.16411,0.18436,0.23078,1.00635,0.99839,1,0.995,0.95904,0.969,0.97059,0.95542,0.31907,0.3245,3.31969,0.14549,0.24357,0.63613,0.00173072,0.00173072,0.00173072
70,1807.08,0.2406,3.30225,0.18304,0.22808,1.00503,0.99845,1,0.995,0.97895,0.44046,0.44118,0.33046,0.1162,0.29506,2.89034,0.15441,0.2656,0.59559,0.00172676,0.00172676,0.00172676
71,1836.08,0.25525,3.5918,0.18395,0.223,1.00339,0.99837,1,0.995,0.96935,0.91028,0.91176,0.8827,0.31908,0.37953,2.80528,0.15061,0.29051,0.68998,0.0017228,0.0017228,0.0017228
72,1860.3,0.21187,3.43364,0.1784,0.21944,0.97573,0.99844,1,0.995,0.9651,0.91034,0.91176,0.86755,0.37091,0.35427,2.54274,0.14465,0.28778,0.64877,0.00171884,0.00171884,0.00171884
73,1884.1,0.2628,2.89858,0.1687,0.23492,1.01587,0.99844,1,0.995,0.97558,0.76349,0.76471,0.65484,0.19602,0.34456,3.28161,0.14013,0.24416,0.64691,0.00171488,0.00171488,0.00171488
74,1911.91,0.26468,3.14486,0.18066,0.23086,0.998,0.99845,1,0.995,0.97208,0.94107,0.94118,0.95019,0.39986,0.34928,1.91659,0.14999,0.24847,0.63362,0.00171092,0.00171092,0.00171092
75,1941.87,0.2546,2.99053,0.18292,0.23116,0.97865,0.99813,1,0.995,0.95702,0.99813,1,0.995,0.4121,0.37574,2.32043,0.15163,0.25588,0.64999,0.00170696,0.00170696,0.00170696
76,1967.98,0.22617,3.074,0.17874,0.22751,0.98814,0.99811,1,0.995,0.96942,0.99811,1,0.995,0.39531,0.39256,2.40069,0.15679,0.29785,0.68398,0.001703,0.001703,0.001703
77,1991.97,0.22737,2.81988,0.17293,0.21847,0.98998,0.99808,1,0.995,0.96038,0.88062,0.88235,0.831,0.34953,0.3432,3.84964,0.19386,0.25648,0.63898,0.00169904,0.00169904,0.00169904
78,2017.47,0.23856,2.76273,0.17618,0.22391,0.9812,0.99845,1,0.995,0.95756,0.99845,1,0.995,0.4521,0.36345,2.7292,0.1496,0.28972,0.63782,0.00169508,0.00169508,0.00169508
79,2050.48,0.23871,2.98205,0.18014,0.22425,0.9799,0.99819,1,0.995,0.9653,0.82179,0.82353,0.75436,0.27945,0.39749,3.39466,0.17165,0.27527,0.69881,0.00169112,0.00169112,0.00169112
80,2074.57,0.25739,2.94604,0.173,0.23131,0.99764,0.99851,1,0.995,0.92412,0.96914,0.97059,0.95559,0.50651,0.42068,2.23485,0.16455,0.35989,0.72021,0.00168716,0.00168716,0.00168716
